sr_no,disco,feeder_name,grid_station,schedule_type,slot_start,slot_end,duration_hours,raw_slot,source_file,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,shortwave_radiation,is_day
2,F-6,PARBAT ROAD,86404,6HR,21:00,22:00,1.0,21--22,islamabad.xlsx,23.5,41.2,22.4,0.0,5.8,0.0,0.0
2,F-6,PARBAT ROAD,86404,8HR,01:00,02:00,1.0,01--02,islamabad.xlsx,19.0,54.7,18.1,0.1,5.4,0.0,0.0
2,F-6,PARBAT ROAD,86404,8HR,04:00,05:00,1.0,04--05,islamabad.xlsx,17.6,57.0,16.8,0.0,3.8,0.0,0.0
2,F-6,PARBAT ROAD,86404,8HR,07:00,08:00,1.0,07--08,islamabad.xlsx,21.4,49.4,20.7,0.0,5.1,92.4,1.0
2,F-6,PARBAT ROAD,86404,8HR,10:00,11:00,1.0,10--11,islamabad.xlsx,31.4,23.6,30.4,0.0,7.4,651.1,1.0
2,F-6,PARBAT ROAD,86404,8HR,13:00,14:00,1.0,13--14,islamabad.xlsx,33.8,19.8,33.2,0.1,8.0,783.0,1.0
2,F-6,PARBAT ROAD,86404,8HR,16:00,17:00,1.0,16--17,islamabad.xlsx,33.3,19.1,30.9,0.0,8.9,470.6,1.0
2,F-6,PARBAT ROAD,86404,8HR,19:00,20:00,1.0,19--20,islamabad.xlsx,28.0,28.0,26.3,0.0,6.9,15.3,0.0
2,F-6,PARBAT ROAD,86404,8HR,22:00,23:00,1.0,22--23,islamabad.xlsx,22.1,46.5,21.2,0.0,5.6,0.0,0.0
2,F-6,PARBAT ROAD,86404,10HR,01:00,02:00,1.0,01--02,islamabad.xlsx,19.0,54.7,18.1,0.1,5.4,0.0,0.0
2,F-6,PARBAT ROAD,86404,10HR,04:00,05:00,1.0,04--05,islamabad.xlsx,17.6,57.0,16.8,0.0,3.8,0.0,0.0
2,F-6,PARBAT ROAD,86404,10HR,07:00,08:00,1.0,07--08,islamabad.xlsx,21.4,49.4,20.7,0.0,5.1,92.4,1.0
2,F-6,PARBAT ROAD,86404,10HR,10:00,11:00,1.0,10--11,islamabad.xlsx,31.4,23.6,30.4,0.0,7.4,651.1,1.0
2,F-6,PARBAT ROAD,86404,10HR,12:00,13:00,1.0,12--13,islamabad.xlsx,33.4,19.9,33.0,0.1,8.0,791.5,1.0
2,F-6,PARBAT ROAD,86404,10HR,14:00,15:00,1.0,14--15,islamabad.xlsx,33.5,20.6,32.4,0.2,9.1,696.9,1.0
